ID,sku,post_status,post_title,post_content,post_excerpt,category,tags,stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,stock_status,visibility,backorders,featured,manage_stock,featured_image,product_gallery,shipping_class,comment_status,ping_status,menu_order
,NVQ900-2,publish,NVQ900-2,,,Клининговое оборудование->Профессиональные пылесосы->Промышленные пылесосы,brand-Numatic,,98611,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ900-2/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ900-2/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ900-2/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ900-2/04.jpg,,close,open,
, HFM1515,publish,Дисковая размывочная машина Hurricane HFM 1515,,,Клининговое оборудование->Размывочная техника,brand-Numatic,,98612,,,,,,none,,instock,,yes,no,no,,,,close,open,
,NLL332,publish,Дисковая размывочная машина LoLine - NLL332,,,Клининговое оборудование->Размывочная техника,brand-Numatic,,98613,,,,,,none,,instock,,yes,no,no,,,,close,open,
,,,,,,Моющие средства->По уходу за полом,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->По уходу за ванной,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->По уходу за туалетом,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->По уходу за кухней,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->Для чистки ковров,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->Для мытья окон,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->Для посудомоечных машин,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->Для различных поверхностей,,,,,,,,,,,,,,,,,,,,,
,,,,,,Моющие средства->Жидкое мыло,,,,,,,,,,,,,,,,,,,,,
,627487,publish,Ведро с отжимом Numatic Hi-Bak 1812 синий,"«Одноведерная уборочная тележка с возможностью разделения основного отсека с помощью перегородки (преобретается отдельно) на два отсека: для чистой и грязной воды.
В комплекте с ведром идет также донный фильтр-отстойник(решетка). Благодаря толстым стенкам, тележка отличается повышенной прочностью, а нанесенная на борта пиктограмма позволяет использовать ее в качестве знака ""Осторожно! Мокрый пол"".Объем ведер для воды (чист./гряз.) 18/12 л; Размеры -475 x 340 x 320 мм»",,Инвентарь для уборки->Уборочные тележки,brand-Numatic,,1000,,,,,,none,,instock,,yes,no,no,,,,close,open,
,147191,publish,Ведро УльтраСпид на платформе с туннельным отжимом,"«Легкое прочное пластиковое ведро с уникальным туннельным отжимом на прочной устойчивой базе удобно для работы на небольших площадях.Ведро можно снимать с базы для транспортировки.Туннельный отжим позволяет качественно и бесшумно отжимать моп с минимальными физическими нагрузками и сокращает время уборки.На внутренней поверхности ведра есть
шкала для удобства расчета моющих средств.Размер колесной базы: длина 41 см,ширина 47 см.

»",,Инвентарь для уборки->Уборочные тележки,brand-Vileda,,2000,,,,,,none,,instock,,yes,no,no,,,,close,open,
,PCM401,publish,PCM401,,,Инвентарь для уборки->Швабры->Швабры в сборе,brand-Numatic,,98624,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM401/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM401/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM401/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM401/04.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM401/05.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM401/06.jpg,,close,open,
,PCM403,publish,PCM403,,,Инвентарь для уборки->Швабры->Швабры в сборе,brand-Numatic,,98625,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM403/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM403/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM403/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM403/04.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM403/05.jpg|http://cleanhouse.in.holmax.ru/images/goods/inventar-dlya-uborki/shvabry/PCM403/06.jpg,,close,open,
,508095,publish,Держатель УльтраСпид,"«Особенности:• Длина 40 см
• Вес 425 г.
• Запатентованная система крепления
насадок исключает излом фиксаторов
насадки и предотвращает провисание
насадок.
• Приспособления для уборки потолков
(стальные шарики) для фиксации
определенных положений.
• Используется с алюминиевой ручкой
150 см.  Особенности:• Длина 40 см
• Вес 425 г.
• Запатентованная система крепления
насадок исключает излом фиксаторов
насадки и предотвращает провисание
насадок.
• Приспособления для уборки потолков
(стальные шарики) для фиксации
определенных положений.
• Используется с алюминиевой ручкой
150 см.  »",,Инвентарь для уборки->Швабры Vileda с системой Ультра Спид->Держатели,brand-Vileda,,2500,,,,,,none,,instock,,yes,no,no,,,,close,open,
,508247,publish,Моп МикроСпид Плюс,"«Особенности: • Профессиональная микроволоконная                    
насадка с абразивными вставками.                                                   
• Благодаря абразивным вставкам                                                  
отлично удаляет сильные загрязнения                                            
и хорошо скользит по поверхности.                                                  
• Диагональное расположение                                                           
абразивов обеспечивает удобную                                                            и эффективную уборку ступеней.
• Может использоваться во влажном
и сухом виде.
• Размеры: длина 40, ширина 14 см.
• Вес 100 г.
• Максимальный объем впитывания: 295 мл.Особенности: • Профессиональная микроволоконная                    
насадка с абразивными вставками.                                                   
• Благодаря абразивным вставкам                                                  
отлично удаляет сильные загрязнения                                            
и хорошо скользит по поверхности.                                                  
• Диагональное расположение                                                           
абразивов обеспечивает удобную                                                            и эффективную уборку ступеней.
• Может использоваться во влажном
и сухом виде.
• Размеры: длина 40, ширина 14 см.
• Вес 100 г.
• Максимальный объем впитывания: 295 мл.»","«Напольные покрытия:
• Применяется для мытья всех типов
напольных покрытий с особыми
требованиями:
-- глянцевые поверхности
(полированный камень,
глазурованная плитка),
-- гидрофобные поверхности (ламинат,
деревянная доска, паркет).Напольные покрытия:
• Применяется для мытья всех типов
напольных покрытий с особыми
требованиями:
-- глянцевые поверхности
(полированный камень,
глазурованная плитка),
-- гидрофобные поверхности (ламинат,
деревянная доска, паркет).»",Инвентарь для уборки->Швабры Vileda с системой Ультра Спид->Мопы,brand-Vileda,,2501,,,,,,none,,instock,,yes,no,no,,,,close,open,
